Title,Rating,Type,Duration,Release Year,Director,Cast/Star
Yumna,9.8,"Short, Drama",15 min,(2015),Nuni,Christine Solomon Logan Martin Yaser Hammad Kimberly E Jackson
Joe & Claire Go to Space,9.8,"Short, Family",10 min,(2015),Joseph Servodio,Shannon Fuller Nicholas Polley Lexi Sullivan
Remember When,9.8,"Short, Drama, Family",22 min,(I) (2016),Swati Srivastava,Roslyn Gentle Stanley Brown Allen Perada Sope Aluko
O Assalto,9.8,Drama,42 min,(2015– ),Fernando Meirelles,Quico Meirelles André Abujamra Bruno Bellarmino Cris Carniato João Côrtes
Online Dating,9.8,Comedy,Not Available,(2014– ),Jordan Imiola,Nicole Foti David Pinion
Return 0,9.8,"Action, Crime, Drama",43 min,(2011–2016),Chris Fisher,Jim Caviezel Kevin Chapman Amy Acker Sarah Shahi
The Day the World Went Away,9.8,"Action, Crime, Drama",43 min,(2011–2016),Frederick E.O. Toye,Jim Caviezel Kevin Chapman Amy Acker Sarah Shahi
Nectar of the Gods,9.8,Comedy,Not Available,(2014– ),Kristen Howe,Kathleen Leary Erin Stoddard
Angry Moms,9.8,Comedy,Not Available,(2014– ),Kristen Howe,Nina Millin Erin Stoddard
Paraguay 76,9.8,"Short, Comedy, Drama",20 min,(2015),Juan Carlos Salas Tamez,Reynaldo Reyes Yamilet Alanis Carlos Almaguer Mauricio Alvarez
Red,9.8,"Short, Drama, Romance",40 min,(I) (2016),Tony Savant,Jim Parrack Evangeline Young Tony Savant Luke Stanton Eddy
The Screwtape Letters,9.8,"Short, Drama",Not Available,(2014),Johnny Gagnon,James Gagnon Calvin Reudiger
My Sister's Last Wish,9.8,Short,Not Available,(2013),Andy Parnell,Dale Barnard Lauren Thomas
The Grad Film,9.8,"Short, Comedy",25 min,(2015),Lavinia Scifoni,Lavinia Scifoni Paul Giddings Benedetto Favazza Marcus Andre
Oasis: Second Night Live at Knebworth Park,9.8,Music,Not Available,(1996 Video),Dick Carruthers,Oasis Paul Arthurs Mark Feltham Liam Gallagher
From the Heart of the World: The Elder Brothers' Warning,9.8,"Documentary, Family",Not Available,(1982– ),Alan Ereira,Mama Valencia
Screaming Silence,9.8,"Short, Drama, Thriller",25 min,(2015),Amanda Hardwick,Nikola Azzuri Sarah Edwards Isabella Haigh Rachel Hatch
I'm on It,9.8,"Short, Comedy",9 min,(2015),Marc Forand,Tristan Sones Ally Battaggia Kelaiah Guiel Ballo Harideem Joseph Iannicelli
YHWH,9.8,"Action, Crime, Drama",44 min,(2011–2016),Chris Fisher,Jim Caviezel Kevin Chapman Amy Acker Michael Emerson
The Guilt of Somayyeh,9.8,"Short, Drama",Not Available,(2014),Beso Turazashvili,Nina Kotyantz Ara Woland Alexandre Kirkitadze Juli Fisher
New Orleans Rising,9.8,Short,Not Available,(2015),Danny Lee,Not Availabe
Brasilia's Tale,9.8,"Short, Comedy, Fantasy",20 min,(2010),Thiago Moyses,Raphael Farias Timm Martins Fabiana Soares Cristina Moyses
Santa Paws,9.8,"Documentary, Reality-TV",43 min,(2011– ),Dave Aldrich,Brenda Grettenberger Melissa Jorgensen John Jourdain
Stronger,9.8,"Short, Drama",12 min,(IV) (2016),Chris Coats,Laura Coxson Evie Hammer Juliet O'Brien Sabra Shelly
I'm Tired of Hipster Beards,9.8,Comedy,Not Available,(2014– ),Kristen Howe,Erin Stoddard Erin Stoddard
I'm Tired of Abercrombie Cologne,9.8,Comedy,Not Available,(2014– ),Kristen Howe,Erin Stoddard Erin Stoddard
I'm Tired of Tiny Cars,9.8,Comedy,Not Available,(2014– ),Kristen Howe,Erin Stoddard Erin Stoddard
No Means Yes,9.8,Comedy,Not Available,(2014– ),Kristen Howe,Erin Stoddard Erin Stoddard Bill English
Episode dated 27 February 2015,9.8,"Comedy, News, Talk-Show",Not Available,(2007–2017),Greg Gutfeld,Andrew Levy Joanne Nosuchinsky Mike Baker
Jump,9.8,"Short, Drama",9 min,(VI) (2014),Gunner Willis,Katie Capelli Katie Capelli Emily Dyer Hollis Griffin
Episode #12.22,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.21,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.20,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.19,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.18,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.17,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.16,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.15,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.14,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.12,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.11,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.10,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.9,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.8,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.7,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.6,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.5,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.4,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Episode #12.3,9.8,Documentary,Not Available,(2003– ),Cat Santarosa,Not Availabe
Not What He Seems,9.8,"Animation, Action, Adventure",23 min,(2012–2016),Stephen Sandoval,Jason Ritter Kristen Schaal Alex Hirsch Nick Offerman
Interview with Producer Scott Migdol,9.8,"News, Talk-Show",Not Available,(2005– ),Dawna Lee Heising,Cole Pummell Dawna Lee Heising Scott Migdol
Supernoir,9.8,"Short, Crime",20 min,(2015),Ayo Adedayo,Maurisa Selene Coleman Rom Blanco Jack Loy Max Easton
Last Light,9.8,"Short, Drama",Not Available,(2009),Kate Lane,Bridget Turner Benjamin Whitrow
Sore Eyes,9.8,"Short, Drama",8 min,(2015),Evan Wood,Trevor Brooks David Gibson Brooke Dylan Stein Mark Lyons
Foolhardy,9.8,"Short, Drama",16 min,(2014),Vadim Vozmitsel,Marta Carracedo Victoria Cardozo Emily Claeys Marzia D'Orlando Brandon Howell
Over & Over,9.8,"Short, Drama",13 min,(2015),Matthew Benjamin Jones,Luke Skinner Jack Bond Kirk Lake Don Brosnan
Questione di sguardi,9.8,"Short, Drama, Horror",16 min,(2014),Luca Alessandro,Luigi Nappa Alberto Di Stasio Roberta Nevola
Teal Soldiers,9.8,"Short, Drama",28 min,(2017),Jonathan Creed,Rainbow Wedell Bella Rose Jenna Kenney Sienna Johnston
Episode #10.22,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.21,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.20,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.19,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.17,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.15,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.16,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.14,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.13,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.9,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.8,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.7,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.6,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.5,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.4,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #10.2,9.8,"Documentary, Adventure",Not Available,(2009– ),Cat Santarosa,Not Availabe
Episode #11.129,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.130,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.127,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.128,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.126,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.124,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.123,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.122,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.121,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.120,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.118,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.119,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.117,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.116,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.114,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.115,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.112,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.113,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.110,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.111,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.108,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.107,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.106,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.104,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.103,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.101,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.100,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.99,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.97,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.96,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.95,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.92,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.91,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.90,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.89,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.87,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.86,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.85,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.84,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.83,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.82,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.81,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.80,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.79,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.78,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.77,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.76,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.75,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.74,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.73,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.71,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.72,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.69,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.70,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.68,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.65,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.66,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.63,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.64,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.62,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.61,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.59,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.60,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.58,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.57,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.55,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.56,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.54,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.53,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.51,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.52,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Ligatures,9.8,"Short, Drama",10 min,(2014),Wesley Chambers,Grace Cowan Maizy James
Episode #11.49,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.50,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.48,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.46,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.45,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.43,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.44,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.42,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.41,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.39,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.40,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.38,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.37,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.35,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.36,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.33,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.32,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.30,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.31,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.29,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.28,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.26,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.27,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.24,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.25,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.22,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.23,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.21,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.18,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.19,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.17,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.16,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.15,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.14,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.12,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.11,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.10,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.9,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.8,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.7,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.6,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.5,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.4,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.3,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.2,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Episode #11.1,9.8,Documentary,Not Available,(2002– ),Cat Santarosa,Not Availabe
Captive,9.8,"Short, Drama, Thriller",13 min,(III) (2015),Jesse Binger,Kaitlyn Johnston Kaitlyn Johnston Tania Zikos Ivan Panayotov Jasmine Brotzman
Pity of a Clown,9.8,"Short, Musical",3 min,(2012),Antonio Chavez Trejo,Antonio Chavez Trejo Ros Elizondo Kristy Hocking Alberto Lacayo Zarate
Kindergarten Da Bin Ich Wieder,9.8,"Short, Comedy",10 min,(2015),Aubrey Arnason,Kalyn Miles Aubrey Arnason Noel Johansen Daniel Arnold Kalvin Olafson
M4: My Many Married Men,9.8,"Short, Comedy, Drama",20 min,(2014),Saman Giraud,James St. Vincent Saman Giraud Oliver Martin Brandon Cordeiro Yan Tual
Kenny Anderson: Former NBA Star at Crossroads,9.8,Reality-TV,42 min,(2014–2015),Kenny Anderson,Dwayne Johnson
Mason Family: Dad Dreams of Rapping,9.8,Reality-TV,42 min,(2014–2015),Juicy J,Dwayne Johnson
Kevin: 40-Year-Old Momma's Boy,9.8,Reality-TV,42 min,(2014–2015),Dwayne Johnson,Jeannie Mai Jenkins
"Game 4, Part 2",9.8,Mystery,Not Available,(2014),Su-yeon Cha,Lee El Eom Hyo-Seob Jo Jae-yoon
Saghanefar,9.8,"Documentary, Short",29 min,(2009),Amirhossein Makouei,Not Availabe
A Friend in Greed,9.8,"Short, Drama",Not Available,(2014),Stephen Baxter,Adam Alberts Ezra Fama de Smit Elizabeth Neale Dominique Noel
Biyahe ni Drew,9.8,Documentary,45 min,(2013– ),Drew Arellano,Not Availabe
Moose on the Loose,9.8,Reality-TV,43 min,(2014– ),Zac Fine,Michelle Oakley
Bull Steam Ahead,9.8,Reality-TV,42 min,(2014– ),Zac Fine,Michelle Oakley
A Face Full of Quills,9.8,Reality-TV,43 min,(2014– ),Zac Fine,Michelle Oakley
Redcap,9.8,Short,Not Available,(2015),Peter Coulthard,Tony Manders
Day 21,9.8,Drama,Not Available,(2010–2011),Wayne Dudley,Stephen Samson Dayle Teegarden
Day 3,9.8,Drama,Not Available,(2010–2011),Wayne Dudley,Chris Butler Rez Kempton
Day 2,9.8,Drama,Not Available,(2010–2011),Wayne Dudley,Rez Kempton Christian Zanone
Day 1,9.8,Drama,Not Available,(2010–2011),Wayne Dudley,Dayle Teegarden
The Greys,9.8,"Short, Sci-Fi",9 min,(2015),Stephen Kramer Glickman,David Baxter Drake Bell Drew Dayton JP Dayton
Red House by the Crossroads,9.8,"Short, Drama, Thriller",Not Available,(2015),Aditya J. Patwardhan,David Epstein Chris Ferera Patrick Hayne Diana Matlak
Duality,9.8,"Short, Sci-Fi",Not Available,(II) (2015),Joel Smith,Monica Cho Drew Dammron Tasha Danvers Guile Fonseca
Oasis: First Night Live at Maine Road,9.8,Music,100 min,(1996 Video),Dick Carruthers,Oasis Paul Arthurs Mark Feltham Liam Gallagher
Semblance,9.8,"Short, Romance, Sci-Fi",6 min,(II) (2013),Aaron Izek,Dwight Turner Juliette Allison Bailey Marshall Foster Joey Rich
GoFish,9.8,"Short, Drama",17 min,(2015),Jamila J. Brown,Gregory Adair Azelan Amundson Ellie Brignati Kaitlyn Charette
Regn,9.8,"Short, Comedy, Drama",8 min,(II) (2014),Camilla Grindheim Larsen,Cédric Luceau Maja Eikehaug Adriansen Krister Wiberg Daniel Oliver Paulsen
Milk in an Ashtray,9.8,"Short, Horror",Not Available,(2012),Gleb Kiselov,Sierra Lynne Mills Tina Q. Nguyen Andre McQueen Alannah Banks
"Paul Masson: Orson Welles, No Wine Before It's Time",9.8,Short,1 min,(1980),Orson Welles,Not Availabe
Sign,9.8,"Short, Thriller",Not Available,(2014 Video),Joe Blodgett,Kelsey George Mogensen Eric Mowery
Episode dated 11 November 2014,9.8,"News, Talk-Show",Not Available,(1952– ),George Bush,Clive Davis Jennifer Hudson Stephen King
From Shunsuke with Love,9.8,"Comedy, Family",Not Available,(2014– ),Shunsuke Okubo,Shunsuke Okubo Sam Maxwell Tess Grant Kento Muranaka
Assess This!,9.8,Comedy,22 min,(2016– ),Jem Garrard,Nyla Rose Amy Fox Vincent Viezzer Andrea Menard
The Wrath of the Lamb,9.8,"Crime, Drama, Horror",43 min,(2013–2015),Michael Rymer,Mads Mikkelsen Hugh Dancy Caroline Dhavernas Gillian Anderson
Afairesis,9.8,"Short, Mystery, Thriller",30 min,(2014),Savvas Christou,Myria Argyroy Dimos Christodoulou Costas Constantinou Demetris Hadjipavlou
Lead and Follow,9.8,"Short, Drama",13 min,(2014),Orsy Szabó,Krista Rand Ian Tracey Lane Edwards Leah Cairns
Feeble,9.8,"Short, Adventure",Not Available,(2014 Video),Chris Anne Lindo,Sayaka Mashiro Jane Redd Bret Newton
Peter's Denial,9.8,"Animation, Adventure, Family",26 min,(2011– ),Bryant Paul Richardson,Shannon Chan-Kent Brian Drummond Noel Johansen Colin Murdock
Sama,9.8,"Short, Drama",15 min,(2014),Katarina Koljevic,Marko Grabez Vucic Perovic Jovana Stojiljkovic
Here's Looking at Moo,9.8,"Documentary, Reality-TV",42 min,(2011– ),Marty Bergey Jr.,Amy Finnerty Dale Finnerty Brenda Grettenberger
Making of I Klironomos,9.8,Documentary,Not Available,(2009 TV Movie),George Lycoudis,Vangelis Alexandris Panagiotis Fafoutis Kostas Fragolias Stephanos Gateley
Cannon Father,9.8,Comedy,21 min,(2013– ),Derek Harvie,Heather Hodgson Bruce Hunter Peter Keleghan Nicole Maroon
Early,9.8,"Short, Comedy",Not Available,(I) (2014),Justin Buettner,Aj Mersereau Justin Crose Pamela Finney Tim Fua Brennan Villados
Black Shadow,9.8,"Short, Thriller",8 min,(2014),Gavin Oxley,Jake Cutts Aaron Palmer Joseph Simister
Return to Sender,9.8,"Drama, Sci-Fi",24 min,(2011– ),Cal Nguyen,Colin McDermott Keith Hottinger Deven Skye Marilee Crockett
Escape from Kenya,9.8,"Short, Adventure",44 min,(2014),Nikhil Chandwani,Not Availabe
Episode #2.1,9.8,"Drama, Romance",Not Available,(2013– ),Bahadir Ince,Kudret Sabanci Begüm Akkaya Alihan Araci Baris Arduç Hatice Aslan
No Lace,9.8,"Short, Music",Not Available,(2008),Betrice Hendson,Virginia Lawton Linda Martin-Godlee
Old Peculier,9.8,"Action, Adventure, Fantasy",11 min,(2010–2012),Lewis Brindley,Lewis Brindley Simon Lane Duncan Jones Hannah Rutherford
School,9.8,"Crime, Drama",42 min,(2014–2017),Daniel Grou,Adrian Holmes Jared Keeso Dan Petronijevic Benz Antoine
Chiesa e Stato vol. 1 - Potere spirituale,9.8,"Short, Drama",14 min,(2013),Umberto Baccolo,Akira Mifune Umberto Baccolo Lilith Primavera Bruno Fruttini
The Daughters of Eve,9.8,"Short, Drama",Not Available,(2015),Jessica Keath,Tayler Buck Daniel Morgan Mike Pappa Kalani Queypo
Final Countdown Part Two,9.8,"Animation, Action, Adventure",Not Available,(2000–2015),Jeremy Brown,Michael Dowding Logan McPherson Michael Goguen Terry Klassen Andrew Francis Sam Vincent Nicole Oliver Sarah Edmondson
Nar-i Ask,9.8,"Drama, History, Romance",Not Available,(2013–2014),Cagan Irmak,Dogan Ümit Karaca Fahriye Evcen Özçivit Burak Özçivit Sibel Melek Arat Erol Aydin
Güven,9.8,"Drama, History, Romance",Not Available,(2013–2014),Cagan Irmak,Dogan Ümit Karaca Fahriye Evcen Özçivit Burak Özçivit Erol Aydin Serkan Bilgi
Can Senligim,9.8,"Drama, History, Romance",Not Available,(2013–2014),Cagan Irmak,Dogan Ümit Karaca Fahriye Evcen Özçivit Burak Özçivit Erol Aydin Serkan Bilgi
Zaman Kimseyi Beklemez,9.8,"Drama, History, Romance",Not Available,(2013–2014),Cagan Irmak,Dogan Ümit Karaca Fahriye Evcen Özçivit Burak Özçivit Sibel Melek Arat Erol Aydin
Seventeen Blue,9.8,"Short, Drama",38 min,(2014),Greta Becker,Laura Raicu Kait Boss Jack Angell Alex Joabar
Arcibald Rajs: Cujte Srbi,9.8,Drama,55 min,(2014 TV Movie),Andreja Milinovic,Dobrica Cosic Vjera Mujovic Ljubivoje Tadic
City of Lost Souls,9.8,"Short, Crime, Drama",31 min,(2014),Jason Baustin,Ava Renee Allen Johnny Alonso Victoria Anastasi Shawn Ash
This Person × and × This Moment,9.8,"Animation, Action, Adventure",23 min,(2011–2014),Hiroshi Kôjina,Koki Uchiyama Aya Endô Kikuko Inoue Taiten Kusunoki
Episode #4.4,9.8,Comedy,Not Available,(2012– ),Michael Hunter,Jared Shores Matt Eastin Adam Berg Whitney Call Mallory Everton Jason Gray
Christina Grimmie: Tell My Mama,9.8,"Short, Adventure, Music",6 min,(2013 Video),David Turvey,Christina Grimmie Josh Powers Melody Ruetsche James Roehl
Scenes from Powned,9.8,"Short, Drama, Thriller",27 min,(2014),C.G. Ryche,Eric Roberts Robert Costanzo Eliza Roberts Adam Zastrow
The Way We Are,9.8,"Short, Drama",11 min,(2014),Daniel Daegun Lee,Brian Bridger Lawrene Denkers Mark Henderson Natasha Negovanlis
